"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","LIFEEXP65","WOMEN","YR","A","2016",21.1,
"GBR","LIFEEXP65","WOMEN","YR","A","2017",21.1,
"GBR","LIFEEXP65","WOMEN","YR","A","2018",21.1,
"USA","LIFEEXP65","MEN","YR","A","2015",18,
"USA","LIFEEXP65","MEN","YR","A","2016",18.1,
"USA","LIFEEXP65","MEN","YR","A","2017",18.1,
"USA","LIFEEXP65","MEN","YR","A","2018",18.1,
"USA","LIFEEXP65","WOMEN","YR","A","2015",20.5,
"USA","LIFEEXP65","WOMEN","YR","A","2016",20.6,
"USA","LIFEEXP65","WOMEN","YR","A","2017",20.6,
"USA","LIFEEXP65","WOMEN","YR","A","2018",20.7,
"BRA","LIFEEXP65","MEN","YR","A","2015",16.7,
"BRA","LIFEEXP65","WOMEN","YR","A","2015",19.8,
"CHL","LIFEEXP65","MEN","YR","A","2015",17.9,
"CHL","LIFEEXP65","MEN","YR","A","2016",18,
"CHL","LIFEEXP65","MEN","YR","A","2017",18.2,
"CHL","LIFEEXP65","MEN","YR","A","2018",18.3,
"CHL","LIFEEXP65","MEN","YR","A","2019",18.5,
"CHL","LIFEEXP65","WOMEN","YR","A","2015",21.3,
"CHL","LIFEEXP65","WOMEN","YR","A","2016",21.4,
"CHL","LIFEEXP65","WOMEN","YR","A","2017",21.6,
"CHL","LIFEEXP65","WOMEN","YR","A","2018",21.7,
"CHL","LIFEEXP65","WOMEN","YR","A","2019",21.9,
"EST","LIFEEXP65","MEN","YR","A","2015",15.5,
"EST","LIFEEXP65","MEN","YR","A","2016",15.6,
"EST","LIFEEXP65","MEN","YR","A","2017",15.6,
"EST","LIFEEXP65","MEN","YR","A","2018",15.7,
"EST","LIFEEXP65","WOMEN","YR","A","2015",20.7,
"EST","LIFEEXP65","WOMEN","YR","A","2016",20.9,
"EST","LIFEEXP65","WOMEN","YR","A","2017",20.8,
"EST","LIFEEXP65","WOMEN","YR","A","2018",20.6,
"ISR","LIFEEXP65","MEN","YR","A","2015",18.9,
"ISR","LIFEEXP65","MEN","YR","A","2016",19.5,
"ISR","LIFEEXP65","MEN","YR","A","2017",19.3,
"ISR","LIFEEXP65","MEN","YR","A","2018",19.7,
"ISR","LIFEEXP65","WOMEN","YR","A","2015",21.5,
"ISR","LIFEEXP65","WOMEN","YR","A","2016",21.6,
"ISR","LIFEEXP65","WOMEN","YR","A","2017",21.9,
"ISR","LIFEEXP65","WOMEN","YR","A","2018",22.1,
"RUS","LIFEEXP65","MEN","YR","A","2015",13.3,
"RUS","LIFEEXP65","MEN","YR","A","2016",13.4,
"RUS","LIFEEXP65","MEN","YR","A","2017",13.7,
"RUS","LIFEEXP65","MEN","YR","A","2018",13.8,
"RUS","LIFEEXP65","WOMEN","YR","A","2015",17.6,
"RUS","LIFEEXP65","WOMEN","YR","A","2016",17.7,
"RUS","LIFEEXP65","WOMEN","YR","A","2017",18,
"RUS","LIFEEXP65","WOMEN","YR","A","2018",18.1,
"SVN","LIFEEXP65","MEN","YR","A","2015",17.6,
"SVN","LIFEEXP65","MEN","YR","A","2016",17.9,
"SVN","LIFEEXP65","MEN","YR","A","2017",17.6,
"SVN","LIFEEXP65","MEN","YR","A","2018",17.8,
"SVN","LIFEEXP65","WOMEN","YR","A","2015",21.4,
"SVN","LIFEEXP65","WOMEN","YR","A","2016",21.8,
"SVN","LIFEEXP65","WOMEN","YR","A","2017",21.7,
"SVN","LIFEEXP65","WOMEN","YR","A","2018",21.8,
"LVA","LIFEEXP65","MEN","YR","A","2015",14.2,
"LVA","LIFEEXP65","MEN","YR","A","2016",14,
"LVA","LIFEEXP65","MEN","YR","A","2017",14.1,
"LVA","LIFEEXP65","MEN","YR","A","2018",14.1,
"LVA","LIFEEXP65","WOMEN","YR","A","2015",18.9,
"LVA","LIFEEXP65","WOMEN","YR","A","2016",19,
"LVA","LIFEEXP65","WOMEN","YR","A","2017",19,
"LVA","LIFEEXP65","WOMEN","YR","A","2018",19,
"LTU","LIFEEXP65","MEN","YR","A","2015",14.1,
"LTU","LIFEEXP65","MEN","YR","A","2016",14.2,
"LTU","LIFEEXP65","MEN","YR","A","2017",14.4,
"LTU","LIFEEXP65","MEN","YR","A","2018",14.5,
"LTU","LIFEEXP65","WOMEN","YR","A","2015",19.2,
"LTU","LIFEEXP65","WOMEN","YR","A","2016",19.4,
"LTU","LIFEEXP65","WOMEN","YR","A","2017",19.4,
"LTU","LIFEEXP65","WOMEN","YR","A","2018",19.7,
"CRI","LIFEEXP65","MEN","YR","A","2015",16.8,
"CRI","LIFEEXP65","MEN","YR","A","2016",18.6,
"CRI","LIFEEXP65","MEN","YR","A","2017",18.7,
"CRI","LIFEEXP65","MEN","YR","A","2018",18.7,
"CRI","LIFEEXP65","WOMEN","YR","A","2015",19.9,
"CRI","LIFEEXP65","WOMEN","YR","A","2016",21.1,
"CRI","LIFEEXP65","WOMEN","YR","A","2017",21.2,
"CRI","LIFEEXP65","WOMEN","YR","A","2018",21.3,
